corrected_name,Category
"ДАТЧИК, ВАКУУМНЫЙ, ДАВЛЕНИЕ ВПУСКНОГО ПАТРУБКА",датчик
Датчик ERA  TALBOT SAMBA 1981-1986,датчик
Датчик АБС MEAT&DORIA  SPRINTER 95-06  пер,датчик
Датчик положения коленвала OPEL  Astra 1238241,датчик
Передний датчик оксидов азота (в сборе),датчик
"ДАТЧИК, температуры ВЫХЛОПА, ПОЛОЖЕНИЕ 1",датчик
"ДАТЧИК, ТЕСТИРОВАНИЯ ЛАМП НАКАЛИВАНИЯ",датчик
ДатЧик Управл. Темп. ОтопителЯ,датчик
Температурный датчик двигателя,датчик
ДАТЧИК-ДЕТОНАЦИИ Bolt-Hexa,датчик
ДАТЧИК УПРАВЛЕНИЯ ТЕМПЕРАТУРОЙ КОНДИЦ.,датчик
"Датчик интенсивности солнечного излучения, черный titanschwarz",датчик
"Датчик FACET  давления AUDI A3 1.62.0FSI 03->, SKODA FabiaOctaviaRoomster 1.21.41.62.0FSI 00->, VW BoraGolfCaddyEOSJettaLupoPassatPoloTouran 1.01.21.41.62.0FSI 95->",датчик
ДАТЧИК A MONTE,датчик
Датчик положения селектора АКПП (датчик выбора передач АКПП),датчик
Датчик давл.во впуск.газопров.,датчик
"Датчик заднего хода EPS  A3, Skoda Octavia, VW Golf IV 96~",датчик
"ПЛАСТИНА, датчик КОЛЕНЧАТОГО ВАЛА",датчик
"ДАТЧИК, цилиндра ЗАМКА, КОРИЧНЕВЫЙ",датчик
"ДАТЧИК,СИСТЕМЫ ОХЛАЖДЕНИЯ",датчик
"Датчик подушки безопасности, левый",датчик
Датчик указателя уровня воды,датчик
Датчик АБС BOSCH  SUBARU,датчик
Датчик кислородный TOYOTA CAMRY SXV20 5SFE 99-01,датчик
"ДАТЧИК-СКОРОСТИ, ВЫХОДНОЙ",датчик
Датчик абсолютного давления для автомобилей Hyundai/Kia Santa Fe (00-) 2.4i/2.7i/Sorento (02-) 2.4i/3.5i,датчик
ДАТЧИК ТЕМП ОХЛАЖД,датчик
"Импульсный датчик DSC, передний",датчик
Датчик стоп сигнала FACET  Renault LoganSanderoClio,датчик
Датчик частоты вращения колеса ALFA ROMEO: 166 2.0 T.Spark /2.0 T.Spark /2.0 V6 /2.4 JTD/2.4 JTD /2.4 JTD /2.5 V6 24V /2.5 V6 24V /3.0 V6 24V /3.0 V6 24V /3.2 V6 24V 98,датчик
Датчик АБС - задн.тормозн,датчик
Датчик положения распредвала SUBARU FORESTER/IMPREZA/LEGACY 97,датчик
Датчик давления масла EPS  VOLVO,датчик
Датчик уровня масла W221,датчик
датчик ABS задн левый l=587,датчик
"СКРЕПЛЕНИЕ, ДАТЧИК, ЗАДНИЙ БАМПЕР, СО СТУПЕНЬКОЙ",датчик
Датчик abs перед. лев mb w202/s202/c208/a208/r170 1.8-4.3i/d/cdi 93-04 с esp,датчик
Датчик температуры MEAT&DORIA  охлаждающей жидкости 0280130046*,датчик
Датчик скорости вращения вала коробки,датчик
Датчик положения коленвала audi,датчик
Датчик давления MEAT&DORIA  0281002119*,датчик
Датчик лазерного радара (в сборе),датчик
"ДАТЧИК, СИСТЕМА КОНТРОЛЯ ПАРКОВКИ, ПЕРЕДНЯЯ ЧАСТЬ, MISTY LAKE",датчик
"Датчик температуры для автомобилей ГАЗ 3302, 3110",датчик
"ДАТЧИК, ТЕМПЕРАТУРА ВОЗДУШНОГО КАНАЛА, ВОЗДУХОПРОВОДЫ",датчик
датчик износа колодок передних L=1120,датчик
Датчик положения квала ERA  Renault 111921ClioEspaceRapidSuperTraficVolvo 340-360,датчик
ДАТЧИК-ПОДУШКА безопасности,датчик
Датчик,датчик
Датчик расхода воздуха,датчик
Датчик кислородный,датчик
Датчик давления масла FAE  BMW,датчик
"Ультразвуковой датчик, №2",датчик
"Датчик частоты вращения, управление двигателем",датчик
"Датчик, хромированный блестящий",датчик
Датчик расстояния (в сборе),датчик
"ДАТЧИК, КИСЛОРОДНЫЙ, КАТАЛИТИЧЕСКИЙ НЕЙТРАЛИЗАТОР",датчик
ДатЧик Топливного Бака В Сборе,датчик
"Датчик давления воздуха, высотный корректор",датчик
"ДАТЧИК, перепада ДАВЛЕНИЙ В ВЫПУСКНОМ КАНАЛЕ",датчик
"Датчик, температуры впускаемого воздуха",датчик
Датчик VERNET ,датчик
"Ультразвуковой датчик, №1",датчик
Датчик положения коленвала,датчик
Гравитационный датчик (в сборе),датчик
Датчик температуры воды,датчик
Подогреваемый кислородный датчик,датчик
Датчик уровня,датчик
Ультразвуковой датчик (в сборе),датчик
"Датчик, система помощи при парковке",датчик
"Датчик температуры, испарителя",датчик
Датчик положения рвала BOSCH  Fiat DobloPandaStradaMini MiniOpel AstraToyota CorollaYarisVolvo,датчик
"Датчик, температуры выхлопных газов",датчик
Датчик давления масла (в сборе),датчик
Датчик колодки тормозной,датчик
"Датчик, грунтованная",датчик
Датчик поперечного ускорения               -ДАТЧИК УДАРА-,датчик
"ДАТЧИК, В СБОРЕ, СИСТЕМА ПРОТИВОУГОННОЙ СИГНАЛИЗАЦИИ",датчик
"Датчик уровня топлива (модуль) RENAULT CLIO II (BB0/1/2_, CB0/1/2_) = 1.4 16V (B/CB0P)/1.5 dCi/1.5",датчик
Датчик автоматического освещения,датчик
Датчик температуры охлаждающей жидкости,датчик
Датчик температуры EPS  MB,датчик
"Датчик, износ тормозных колодок",датчик
Датчик холла,датчик
Датчик износа тормозных колодок перед BMW X3 04,датчик
Датчик интенсивности солнечного излучения,датчик
Датчик/Переключатель,датчик
Датчик поперечного ускорения                -ДАТЧИК УДАРА-,датчик
Датчик уровня масла (в подсборе),датчик
Датчик скорости (в сборе),датчик
ДАТЧИК УРОВНЯ ТОПЛИВА,датчик
Датчик износа колодок,датчик
"Датчик подушки безопасности, внутренний",датчик
Датчик радара противоугонной системы,датчик
ДАТЧИК ABS КОЛЕСА,датчик
Датчик расхода воздуха ДВС,датчик
Датчик температуры наружного воздуха,датчик
"Датчик АБС SAT  TOY     Corolla   ZRE150, NRE150,  2008-   FRRH, арт. D89542-12080 (шт.)",датчик
Датчик ABS [L=1260],датчик
Датчик положения педали газа (в сборе),датчик
"ДАТЧИК, В СБОРЕ, положения КОЛЕНВАЛА",датчик
"Провод датчика скорости, правый",датчик
"Датчик движения, soul (черный)",датчик
ДАТЧИК T РАДИАТОРА,датчик
ДАТЧИК/SCHALTER HELLIG,датчик
датчик уровня пневмоподв. ECAS,датчик
"Датчик АБС;HYUNDAI ELANTRA (06-11), I30 (07-12)",датчик
Радарный датчик,датчик
"Датчик температуры выхлопных газов, №2",датчик
Датчик уровня топлива для автомобил ВАЗ 21214 (для ЭБН 21214-1139009),датчик
Радиолокационный датчик ближн.диапазона,датчик
"КРЫШКА, ДАТЧИК, СЕРЫЙ",датчик
"Датчик подушки безопасности, передний левый",датчик
"ДАТЧИК, температуры ВЫХЛОПА, ЖЕЛТЫЙ",датчик
ДатЧик/ДатЧик Hego,датчик
ДАТЧИК ОТСТОЯ,датчик
Датчик давления масла VAG  AUDI,датчик
"ДАТЧИК, СИСТЕМА КОНТРОЛЯ ПАРКОВКИ, ЗАДНИЙ, СЕРЕБРЯНЫЙ",датчик
ДАТЧИК ТЕМПЕРАТУРЫ ЖИДКОСТИ,датчик
"Датчик импульсов; Датчик, положение распределительного вала",датчик
Датчик наддува,датчик
ДАТЧИК-В МАШИНЕ,датчик
Лямбда-зонд (кислородный датчик),датчик
AUG_датчик ,датчик
ДатЧики УправлениЯ Двигателем,датчик
Датчик частоты вращения колеса передн bm,датчик
Датчик киcл,датчик
ДатЧик Hego,датчик
"Датчик АБС MEAT&DORIA  ABS sensor, front, both sides АНАЛОГ A1",датчик
"Датчик заднего хода MEAT&DORIA  FORD FOCUS II, C-MAX 07-, MONDEO IV",датчик
Датчик расхода воздуха MEAT&DORIA  замена на 86066E 0280217107*,датчик
"ДАТЧИК, ТЕМПЕРАТУРА ВОЗДУХА, ВПУСКНОЙ ПАТРУБОК",датчик
"КОРПУС, ДАТЧИК СИСТЕМЫ КОНТРОЛЯ ПАРКОВКИ",вспомогательная деталь для датчика
датчик положения к/вала,датчик
ДАТЧИК DS,датчик
датчик оксидов азота,датчик
Датчик интенсивности солнечного излучения,датчик
"ДАТЧИК, ОБОРОТОВ ЗАДНЕЙ ОСИ",датчик
Датчик холла EPS ,датчик
Датчик сигнализации неисправной тормозной системы,датчик
"КУЛАЧОК,датчик ТОПЛИВА",датчик
"Датчик, коробки передач",датчик
Датчик температуры охлаждающей жидкости,датчик
ДАТЧИК УГЛА НАКЛОНА КОЛЕНВАЛА,датчик
Датчик abs задн лев hyun,датчик
ДАТЧИК РАЗДАТ.КОРОБКИ ЭЛ.РК GW DEER SAFE SAILOR HOVER WINGLE,датчик
Датчик включения вентилятора охлаждения,датчик
Датчик тормозной передний,датчик
Датчик уровня жидкости (в сборе),датчик
ДАТЧИК ОТРАБОТАННЫХ ГАЗОВ,датчик
ДАТЧИК ЗАДНЕГО ХОДА,датчик
датчик УДАРА,датчик
"ДАТЧИК, ТЕМПЕРАТУРЫ НАРУЖНОГО ВОЗДУХА",датчик
Датчик в сборе прав передний,датчик
"ДАТЧИК, УРОВНЯ ТОРМОЗНОЙ ЖИДКОСТИ",датчик
"Датчик АБС DEKO  NIS       PATHFINDER R51 , NAVARA  D40   FRRHLH, арт.  (шт.)",датчик
"ДАТЧИК, ОБОРОТОВ ЗАДНЕЙ ОСИ, П/С",датчик
Датчик АБС HYUNDAIKIA  Датчик АБС передний левый,датчик
"Датчик, давления подачи топлива",датчик
Датчик Износа Тормозной Колодки  Правый,датчик
ДАТЧИК ТЕМПЕРАТУРЫ ГАЗА,датчик
Датчик уровня топлива в бензобаке,датчик
Датчик в сборе передний угловой,датчик
"ДАТЧИК, В СБОРЕ",датчик
"Датчик, импульса зажигания",датчик
Датчик к/вала BMW E43/39/X5(E53) 3.0 D,датчик
Датчик детонации FACET  Opel AstraCorsaVectraZafira,датчик
ДАТЧИК-УРОВНЯ,датчик
Датчик расходомера воздуха,датчик
"ДАТЧИК, РЕГУЛЯТОР УГЛА ВПРЫСКА, ИНЖЕКЦИОННЫЙ НАСОС",датчик
Датчик положения дроссельной заслонки meat&doria,датчик
Датчик стоп сигнала ERA  MB,датчик
"Датчик положения коленвала, №1",датчик
Датчик положения педали,датчик
"ДАТЧИК,ДАВЛЕНИЯ ОХЛАДИТЕЛЯ КОНДИЦ.",датчик
Датчик уровня кузова задний,датчик
"Датчик высокого, низкого давл. и выключатель вентилят.",набор деталей
Датчик давления meat&doria,датчик
Датчик контроля салона,датчик
Датчик высокого давления,датчик
Датчик заднего хода meat&doria,датчик
ИМПУЛЬСНЫЙ ДАТЧИК ABS RR,датчик
"ДАТЧИК, НАГРЕТЫЙ КИСЛРД",датчик
"Датчик, давление во впускной трубе ",датчик
Датчик корректора фары (в сборе),датчик
"Датчик давления воздуха SEAT: AROSA 1.0/1.4 97-04, INCA 1.4 16V/1.4 i 95",датчик
"ДАТЧИК ABS FORD ESCORT (ALL, ANL, AFL) 1.4 02.95-08.98",датчик
Датчик в центральной стойке П,датчик
Датчик детонационного сгораниясо жгутом проводов,датчик
Датчик давления в шинах (в сборе),датчик
Датчик износа тормозн. колодок задн,датчик
"Датчик раздаточной коробки, №1",датчик
ДАТЧИК УДАРА / MODUL ESP,датчик
"ДАТЧИК, В СБОРЕ, педали ТОРМОЗА",датчик
Датчик перемещения,датчик
Датчик АБС TRW  VW SHARAN 96-10GALAXY 95-06 Пер,датчик
датчик износа тормозных накладок,датчик
"ДАТЧИК КОЛЕСА-ПЕРЕДН.,прав",датчик
Датчик угла поворота руля,датчик
Датчик частоты вращения колеса DAEWOO: LEGANZA 2.0 16V/2.2 16V 97-03,датчик
"ДАТЧИК, КИСЛОРОДНЫЙ, КАТАЛИТИЧЕСКИЙ НЕЙТРАЛИЗАТОР, ПЕРЕДНЯЯ ЧАСТЬ, ПСП",датчик
"ДАТЧИК, ВАКУУМНЫЙ",датчик
Датчик открытия багажника главный,датчик
"Датчик, поперечное ускорение; Датчик, продольное / поперечное ускорение",датчик
Датчик airbag,датчик
Датчик уровня наполнения Л,датчик
датчик ABS L=2200,датчик
"Датчик, черный-блестящий",датчик
Датчик детонации FACET  Audi A4A6A8AllroadVW Passat,датчик
Датчик поперечного ускорения,датчик
датчик износа колодок перед,датчик
ДАТЧИК ABS ЗАДНИЙ ЛЕВЫЙ.,датчик
Датчик наружной температуры,датчик
Датчик положения кузова задний,датчик
Комбинированный датчик,датчик
Датчик положения распредвала NISSAN VK45/VK56/QG13/QG15/QG16/QG18/CR12/CR14/YD22/F9Q/K9K/C,датчик
"ДАТЧИКТЕМПЕРАТУРА НА ДИЗЕЛЬНОМ САЖЕВОМ ФИЛЬТРЕ, СПЕРЕДИ",датчик
Датчик парковки SAT  VOLKSWAGEN GOLF 97-08JETTA 05-10TOUAREG 03-10TOURAN 03-09PORSCHE CAYENNE 02-10,датчик
датчик температуры масла/охл. жидкости,датчик
Датчик в сборе автоматической,датчик
"Датчик температуры 2P,BLUE,D=20MM",датчик
Датчик температуры HYUNDAIKIA  Датчик температуры масла,датчик
Датчик температуры с переходным кабелем,датчик
"ДАТЧИК, ОБОРОТОВ РАСПРЕДВАЛА",датчик
Датчик АБС задний левый,датчик
кислородный датчик двигателя,датчик
Датчик приборной панели (в сборе),датчик
"ДАТЧИК, БАТАРЕЯ, МНОГОФУНКЦИОНАЛЬНЫЙ",датчик
Датчик подушки безопасности HYUNDAIKIA  Датчик подушки безопасности,датчик
"Датчик, температуры охлаждающей жидкости",датчик
датчик скорости движения,датчик
Датчик бачка с тормозной жидкостью,датчик
Датчик положения,датчик
Датчик кислорода,датчик
"Датчик, запаса топлива",датчик
Датчик подушки безопасности (в сборе),датчик
ДАТЧИК МАССОВОГО РАСХОДА ВОЗДУХА,датчик
Датчик дорожного просвета с тягой,датчик
Датчик детонации,датчик
"Датчик, давления наддува",датчик
Датчик положения распредвала,датчик
Датчик частоты вращения,датчик
Задний датчик высоты (в сборе),датчик
Датчик уровня топлива ,датчик
"Датчик, частота вращения колеса",датчик
ДАТЧИК ДЕТОНАЦИОННОГО СГОРАНИЯ,датчик
"Ультразвуковой датчик, №3",датчик
"Датчик, положение распределительного вала",датчик
ДАТЧИКТЕМП ОХЛАДИТЕЛЯ,датчик
"Датчик, давление воздуха впускном газопроводе",датчик
Датчик износа тормозных накладок,датчик
Термодатчик,датчик
Датчик коленвала,датчик
Напольный датчик левой подушки безопасности,датчик
Датчик дождя,датчик
Датчик давления,датчик
Датчик положения ротора тягового электродвигателя,датчик
Ультразвуковой датчик Melbourne красный,датчик
Датчик износа тормозных колодок BMW 5 (E39) 2.0-4.9 11,датчик
"Датчик, Рулевое управление",датчик
"Датчик АБС, передний левый",датчик
Датчик АБС  прав лев,датчик
Датчик FORD  скорости,датчик
Датчик уровня масла коробки передач (в подсборе),датчик
Датчик давления в шинах,датчик
Датчик давления масла,датчик
"световой контакт.датчик, кресло-каталка",датчик
Датчик вакуума,датчик
Датчик температуры охлаждающей жидкости,датчик
Датчик уровня масла,датчик
Датчик частоты вращения колеса,датчик
Датчик уровня воды и топлива (в сборе),датчик
Датчик температуры отработавших газов,датчик
Ультразвуковой датчик окрашенный,датчик
Датчик положения рвала HYUNDAIKIA  Accent  Тагаз 12V,датчик
Датчик регулировки дорожного просвета отдельно,датчик
Температурный датчик охлаждающей жидкости,датчик
"Ультразвуковой датчик, передний угловой",датчик
датчик положения вала,датчик
"ДАТЧИК, ОБОРОТОВ ОСИ, ЗАДНИЙ",датчик
"Датчик импульсов; Датчик частоты вращения, управление двигателем",датчик
ДАТЧИК ДОПОЛНИТЕЛЬНОЙ СИСТЕМЫ ОТОПЛЕНИЯ,датчик
Датчик уровня топлива,датчик
Датчик положения квала EPS  Accent 99,датчик
Датчик температуры,датчик
Датчик импульсов,датчик
Датчик парктроника,датчик
Ультразвуковой датчик,датчик
Датчик температуры   daewoo all,датчик
ДАТЧИК ИЗНОСА ТОРМОЗНЫХ КОЛОДОК,датчик
"Насос топливный, датчик в сборе",датчик
Датчик детонации с жгутом проводов,датчик
Датчик поперечного ускорения -ДАТЧИК УДАРА-,датчик
Датчик кислородный (лямбда-зонд),датчик
Датчик заднего правого колеса,датчик
Датчик подушки безопасности,датчик
Ультразвуковой датчик черный,датчик
ДАТЧИК И НАСОС,набор деталей
Датчик износа,датчик
Датчик частоты вращения колеса передний,датчик
ДатЧик Темп. Катал. Нейтр.,датчик
Датчик давления в шине,датчик
Центральный датчик боковой подушки безопасности,датчик
Датчик износа торм.колодок пер. ,датчик
Датчик уровня топлива (в сборе),датчик
"Крышка датчика, жемчужно-серый",вспомогательная деталь для датчика
Датчик ABS,датчик
ДАТЧИК ДЕТОНАЦИИ ДВИГАТЕЛЯ,датчик
УЛЬТРАЗВУКОВОЙ ДАТЧИК В СБОРЕ-СИСТЕМА ПОМОЩИ ПРИ ПАРКОВКЕ,датчик
датчик включения вентилятора,датчик
Датчик температуры воздуха в салоне ,датчик
"Датчик АБС MEAT&DORIA  ABS sensor, front right",датчик
"Ультразвуковой датчик, задний центральный",датчик
Датчик контроля нейтрализатора,датчик
Датчик ABS RR ACURA MDX 07-12 RH,датчик
Датчик числа оборотов,датчик
Датчик включения заднего хода,датчик
Датчик колодки тормозной задней,датчик
"ТРУБКА, В СБОРЕ, датчика ПЕРЕПАДА ДАВЛЕНИЙ В ВЫПУСКНОМ КАНАЛЕ",датчик
Датчик включения вентилятора,датчик
Датчик давления воздуха высотного корректора,датчик
Датчик температуры всасываемого воздуха,датчик
"ДАТЧИК,ЦЕНТРАЛЬНОГО ВПРЫСКА ДРОССЕЛЬНОЙ ЗАСЛОНКИ",датчик
ДАТЧИК В СБОРЕ-ТОПЛИВНЫЙ НАСОС,датчик
Датчик регулирования давления в системе кондиционирования,датчик
ДатЧик Частоты Вращения ДвигателЯ,датчик
"ДАТЧИК, КИСЛОРОДНЫЙ, С ОБОГРЕВОМ, КАТАЛИТИЧЕСКИЙ НЕЙТРАЛИЗАТОР",датчик
ДАТЧИК POSTERIORE,датчик
"Датчик, положение дроссельной заслонки",датчик
Датчик скорости,датчик
"Датчик, грунтован.",датчик
ДАТЧИК ТЕМПЕРАТУРЫ ВОЗДУХА НАРУЖНИЙ / OU,датчик
Датчик температуры выхлопных газов,датчик
Датчик частота вращения колеса (датчик ABS),датчик
"БАК, В СБОРЕ, ТОПЛИВНЫЙ, БЕЗ ТОПЛИВНОГО ДАТЧИКА И ТОПЛИВНОГО НАСОСА",другая деталь
"Датчик, температуры масла",датчик
Датчик АБС,датчик
"ДАТЧИК КИСЛОРОДНЫЙ,ДВИГАТЕЛЯ",датчик
ДатЧик В Сборе С Насосом,датчик
Датчик положения квала ERA  Opel Sintra,датчик
Датчик положения дроссельной заслонки,датчик
Кислородный датчик,датчик
Датчик пройденного пути,датчик
ДАТЧИК NOx,датчик
"Ультразв. датчик охр. сигнал. с блок управления защиты от несанкциониров. буксировки и охранной сигнализации, жемчужно-серый",датчик
"ДАТЧИК, ИЗНОСА ТОРМОЗНОЙ НАКЛАДКИ",датчик
ДАТЧИК ВЫСОКОГО ДАВЛЕНИЯ ТОПЛИВА,датчик
Датчик износа передних тормозных колодок,датчик
Датчик АБС MANDO ,датчик
"Датчик скорости, передней левый",датчик
Датчик abs перед,датчик
Датчик импульсов ,датчик
"Датчик включения вентилятора Citroen XM 3.0i 89-94, Peugeot 205 1.1-1.9i 83-94/605 2.0//2.1 89-94",датчик
Датчик выбора передач,датчик
Датчик давления испарителя (в сборе),датчик
Датчик ABS L=2780 mm,датчик
ДАТЧИК ДОРОЖНОГО ПРОСВЕТА,датчик
ДАТЧИК ДВИЖЕНИЯ,датчик
"ДАТЧИК, МИНИМАЛЬНОГО УРОВНЯ МАСЛА, МАСЛЯНЫЙ ПОДДОН",датчик
Датчик положения коленчатого вала NISSAN RENAULT,датчик
Датчик ультразвуковой,датчик
Датчик положения квала HYUNDAIKIA  Датчик положения коленвала,датчик
Датчик температуры выхлопных газов VW,датчик
"ДАТЧИК, В СБОРЕ, КОМБИНИРОВАННЫЙ, ПСП",датчик
"Ультразвуковой датчик, передний боковой",датчик
Датчик системы предупреждения столкновения,датчик
Датчик топлива (в сборе),датчик
"ДАТЧИК СИСТЕМЫ КОНТРОЛЯ СЛЕПЫХ ЗОН В СБОРЕ, ПРАВЫЙ",датчик
"Датчик, частота вращения",датчик
Датчик давления наддува,датчик
ИМПУЛЬСНЫЙ ДАТЧИК ABS,датчик
Датчик включения стоп-сигнала,датчик
"ДАТЧИК, РЕМЕНЬ ПЕРЕДН ПАСС/СИД, ПРИСУТСТВИЕ ПАСС",датчик
Датчик АБС задний,датчик
ДАТЧИК ABS ЗАДНИЙ ЛЕВЫЙ,датчик
"ДАТЧИК, ТЕМПЕРАТУРЫ ВОДЫ, СИНХРОНИЗАЦИЯ ДВИГАТЕЛЯ",датчик
"ТРУБКА, В СБОРЕ, ДАТЧИК ПЕРЕПАДА ДАВЛЕНИЙ В ВЫПУСКНОМ КАНАЛЕ, нижней, ПСП",вспомогательная деталь для датчика
ДАТЧИКРУЛЕВОЕ УПРАВЛЕНИЕ С УСИЛИТЕЛЕМ,датчик
датчик част.вращ.,датчик
"ДАТЧИК, температуры ВЫХЛОПА",датчик
Датчик парковки 4t5,датчик
Датчик ABS задней подвески правый,датчик
Датчик ,датчик
датчик ВМТ,датчик
Передний правый датчик АБС (в сборе),датчик
Датчик температуры VERNET  Citroen BerlingoC3C5Peugeot 106406407 96,датчик
Датчик уровня пневмоподвески [ELC.задн.],датчик
"Датчик, положение педали акселератора",датчик
"ДАТЧИК-ПОДУШКА БЕЗОПАСНОСТИ , ",датчик
Датчик давления кондиционера,датчик
"Датчик темп.охл. жид. HOVER,WINGLEдиз (2 контактны",датчик
"Датчик частоты вращения, автоматическая коробка передач",датчик
ДАТЧИК СКОРОСТИ АК,датчик
Датчик температуры охлаждающей жидкости (в сборе),датчик
ДАТЧИК-ПРУЖИНА,вспомогательная деталь для датчика
"Датчик скорости, задний левый",датчик
Датчик абсолютного давления,датчик
ДатЧик ДавлениЯ Топл. Форсунки,датчик
ДАТЧИК СОСТАВА РАБОЧЕЙ СМЕСИ,датчик
"Датчик, частота вращения колеса ",датчик
"Датчик BOSCH  давления AUDI A3 1.62.0FSI 03->, SKODA FabiaOctaviaRoomster 1.21.41.62.0FSI 00->, VW BoraGolfCaddyEOSJettaLupoPassatPoloTouran 1.01.21.41.62.0FSI 95->",датчик
"КРЫШКА, датчика",датчик
"ТРУБКА, ВЫХЛОПНАЯ, ПРОМЕЖУТОЧНАЯ, БЕЗ ОТВЕРСТИЯ ДЛЯ ДАТЧИКА",датчик
Датчик давления масла BLUE PRINT ,датчик
датчик кислорода (лямбда-зонды),датчик
Датчик давления во впускной трубе,датчик
"Ультразвуковой датчик, задний угловой",датчик
ДАТЧИК АБС ПЕРЕДНИЙ ЛЕВЫЙ,датчик
ДАТЧИК ПАРКОВКИ 1E3,датчик
Датчик AБС,датчик
"ДАТЧИК, УРОВНЯ ОХЛАЖДАЮЩЕЙ ЖИДКОСТИ, НАПОРНЫЙ БАК",датчик
Датчик давления (в сборе),датчик
Датчик массового расхода воздуха,датчик
"ДАТЧИК, системы КОНТРОЛЯ ПАРКОВКИ",датчик
Датчик скорости АБС,датчик
"Датчик положения рвала MEAT&DORIA  Omega,Vectra B",датчик
"Датчик, продольное / поперечное ускорение",датчик
УЛЬТРАЗВУКОВОЙ ДАТЧИК В СБОРЕ-ПЕРЕДН. СИСТЕМА ПРЕДУПРЕЖДЕНИЯ О ДВИЖЕНИИ ЗАДНИМ ХОДОМ,датчик
Датчик рулевого управления (в сборе),датчик
"Датчик, давления выхлопных газов",датчик
